user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,interaction_count_x,target_score,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,interaction_count_y,active_days,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity,days_since_last_interaction,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Science Fiction,genre_Western,favorite_Action,favorite_Adventure,favorite_Animation,favorite_Comedy,favorite_Crime,favorite_Drama,favorite_Family,favorite_Fantasy,favorite_History,favorite_Horror,favorite_Music,favorite_Science Fiction,favorite_Western
387,283,0.2,True,True,False,0.0,0.2,0.2631578947368421,0.397999990673626,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.3333333333333428,"[9, 90, 4, 7]","[10, 91, 5, 7]",0.2631578947368421,0,0.49999940395369435,0.8000000000000043,0.7735849056603772,2,False,False,9,10,11,0.4000000000000001,3.1409076217592595,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
101,1774,0.0,False,True,False,0.0,0.4,0.15789473684210525,0.08058823263356427,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6404392828552448,1.0,1.0,"[9, 4, 12, 14]","[10, 5, 14]",0.15789473684210525,0,0.0,0.3999999999999986,0.19811320754716966,3,False,False,37,88,0,0.0,0.0012663241550925927,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
194,536,0.5,False,False,False,0.3333333333333333,0.4,0.47368421052631576,0.6463529477845426,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6404392828552448,1.0,1.0,"[9, 4, 12, 14]","[10, 5, 14]",0.47368421052631576,0,0.6249998509884236,0.3090909090909122,1.0,3,False,False,4,5,6,0.6000000000000001,0.0015001760300925925,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
14,235,0.4,True,True,False,0.16666666666666666,0.2,0.42105263157894735,0.609176478730766,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352988,0.0,"[1, 15]","[2, 95]",0.42105263157894735,0,0.24999970197684718,0.41818181818182154,0.26415094339622636,3,False,False,22,23,24,0.0,0.00019156956018518518,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
143,1476,0.2,False,False,False,0.0,0.2,0.15789473684210525,0.08258823144147134,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6404392828552448,1.0,1.0,"[9, 4, 12, 14]","[10, 5, 14]",0.15789473684210525,0,0.6249998509884236,0.3090909090909122,1.0,3,False,False,4,5,6,0.6000000000000001,0.0015001760300925925,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
449,184,0.6000000000000001,True,True,False,0.3333333333333333,0.4,0.631578947368421,0.6975294260244469,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6404392828552448,1.0,1.0,"[9, 4, 12, 14]","[10, 5, 14]",0.631578947368421,0,0.0,0.3999999999999986,0.19811320754716966,3,False,False,37,88,0,0.0,0.0012663241550925927,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
213,1073,0.1,True,True,False,0.16666666666666666,0.2,0.2631578947368421,0.30423529221194834,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.3333333333333428,"[9, 90, 4, 7]","[10, 91, 5, 7]",0.2631578947368421,0,0.0,1.0,0.6509433962264151,3,False,False,14,14,96,1.0000000000000002,3.1411942865509257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
227,782,0.2,True,True,False,0.16666666666666666,0.2,0.3157894736842105,0.37894115994215816,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.3333333333333428,"[9, 90, 4, 7]","[10, 91, 5, 7]",0.3157894736842105,0,0.6249998509884236,0.0,0.0,3,False,False,90,91,0,0.4000000000000001,3.1410304948379633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
154,425,0.4,True,True,False,0.3333333333333333,0.4,0.5263157894736842,0.4302352697024293,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.3333333333333428,"[9, 90, 4, 7]","[10, 91, 5, 7]",0.5263157894736842,0,0.49999940395369435,0.8000000000000043,0.7735849056603772,2,False,False,9,10,11,0.4000000000000001,3.1409076217592595,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
296,166,0.30000000000000004,True,True,False,0.16666666666666666,0.4,0.42105263157894735,0.4121176313801206,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6404392828552448,1.0,1.0,"[9, 4, 12, 14]","[10, 5, 14]",0.42105263157894735,0,0.0,0.20000000000000284,0.6509433962264151,1,False,False,15,110,111,0.0,0.0014817617939814813,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
