user_id,movie_id,view_count,liked,saved,shared,comment_count,search_count,movie_interaction_count,target_score,account_age_days,total_views,total_likes,total_saves,total_shares,total_comments,total_searches,avg_interaction_weight,favorite_genres,preferred_runtime,preferred_release_year,favorite_directors,favorite_writers,user_interaction_count,active_days,genres,rate,release_year,runtime,country,is_series,adult,director_id,writer_id,producer_id,popularity,last_interaction
1,291,1,False,False,True,0,2,4,1.6,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,241,['Comedy'],5.0,2009,115,Canada,True,False,99,54,58,2243,2026-05-05T11:18:38.461122
1,400,4,True,False,False,2,1,8,2.9,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,323,"['Science Fiction', 'Music']",8.5,2011,145,UK,False,False,108,72,18,2251,2026-05-23T11:18:38.461166
1,95,3,False,False,False,0,1,4,0.7,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,32,['Western'],9.0,1983,152,India,False,False,100,59,78,4594,2025-10-30T11:18:38.461185
1,392,1,False,False,False,0,0,1,0.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,210,"['History', 'Animation']",5.6,2008,123,Canada,False,True,21,137,29,1702,2025-10-16T11:18:38.461200
1,34,1,False,False,False,1,2,4,0.9,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,718,"['Crime', 'Family', 'Documentary']",9.7,1991,127,USA,False,False,101,106,86,4510,2026-02-07T11:18:38.461215
1,167,3,False,False,False,1,2,6,1.3,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,556,['Western'],9.5,1989,96,Iran,False,False,106,8,11,1169,2025-07-25T11:18:38.461228
1,161,3,False,False,False,0,2,5,0.8,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,581,"['Horror', 'Music', 'Animation']",7.2,1998,113,France,False,False,82,45,47,4712,2026-03-17T11:18:38.461247
1,56,4,True,False,False,0,2,7,2.0,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,351,"['Fantasy', 'Music']",5.0,2018,170,UK,False,False,40,28,75,593,2026-02-11T11:18:38.461260
1,276,3,False,True,False,0,0,4,2.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,1256,"['Drama', 'Crime', 'Horror']",6.3,2020,172,UK,False,False,109,62,8,2784,2025-10-17T11:18:38.461273
1,150,3,False,False,False,1,0,4,1.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,909,"['War', 'Horror']",8.7,1991,174,India,False,False,24,35,9,425,2026-05-15T11:18:38.461285
1,217,2,False,False,False,0,1,3,0.5,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,60,['TV Movie'],7.2,2023,118,Japan,False,False,93,126,59,3866,2025-08-09T11:18:38.461316
1,425,3,True,False,True,2,2,9,4.0,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,104,"['Family', 'Documentary', 'Adventure']",6.1,2021,75,France,True,False,52,91,86,877,2026-01-05T11:18:38.461335
1,280,1,False,False,True,1,2,5,2.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,111,"['Western', 'Animation', 'TV Movie']",6.6,2003,82,India,False,False,21,66,99,715,2025-12-14T11:18:38.461347
1,460,1,False,False,False,0,2,3,0.4,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,803,"['Comedy', 'Thriller']",7.9,1993,135,Canada,False,False,42,41,81,1476,2025-07-25T11:18:38.461364
1,376,0,True,False,False,0,2,3,1.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,1221,['Thriller'],4.6,2004,93,USA,False,False,97,42,37,4865,2025-09-01T11:18:38.461377
1,363,3,False,False,False,0,1,4,0.7,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,914,"['Mystery', 'Crime', 'Adventure']",4.1,1990,139,India,False,False,10,126,42,2923,2026-02-11T11:18:38.461389
1,282,3,True,True,False,2,0,7,4.1,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,681,"['Music', 'Mystery']",9.3,1991,79,South Korea,False,False,84,108,29,1633,2025-07-20T11:18:38.461402
1,84,7,True,False,True,1,1,11,4.2,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,1093,['History'],8.2,2017,149,India,False,False,62,89,43,653,2025-11-24T11:18:38.461416
1,374,3,False,False,False,0,0,3,0.6,1270,123,11,10,7,26,58,1.556,"['History', 'Science Fiction', 'Fantasy']",129.0,2001.5,"[100, 25, 14]","[48, 7, 69]",50,1163,"['Horror', 'War', 'Drama']",5.2,2019,166,Japan,False,False,17,46,65,1089,2026-06-03T11:18:38.461429
